model_id,model_name,election_date,datasource_weight,model_time_interval,model_time_distance,model_time_id,GT_end_date,GT_start_date,GT_identifier,election,model_time_period_color,parties,data_election,data_election_previous,name_GT_datasets,GT_keywords,data_GT_year,predictions_Infratest,predictions_Forsa,predictions_Kantar,predictions_FGW,predictions_Allens,predictions_GT,predictions_GT_election_weight,Weight_Model_2,Poll_dates_weekly_weighting,GT_data_weekly_weighting,predicitons_GT_weekly_polls,predicitons_GT_weekly_polls_mean,predictions
12,M_60_2009_int_91_days_dist_101_days_GT_election_weight,2009-09-27,GT + election weight,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
13,M_61_2009_int_7_days_dist_1_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
14,M_62_2009_int_7_days_dist_51_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
15,M_63_2009_int_7_days_dist_101_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
16,M_64_2009_int_91_days_dist_1_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,7862400s (~13 weeks),1d 0H 0M 0S,days,2009-09-26,2009-06-27,2009-06-27-2009-09-26,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
17,M_65_2009_int_91_days_dist_51_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,7862400s (~13 weeks),51d 0H 0M 0S,days,2009-08-07,2009-05-08,2009-05-08-2009-08-07,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
18,M_66_2009_int_91_days_dist_101_days_GT_weekly_polls_weight,2009-09-27,GT + weekly polls weight,7862400s (~13 weeks),101d 0H 0M 0S,days,2009-06-18,2009-03-19,2009-03-19-2009-06-18,"27 Sep, 2009",2.98973305954825 month(s),,,,,CDU + CSU + Angela Merkel; SPD + Frank Walter Steinmeier; Grüne + Jürgen Trittin + Renate Künast; Linke + Gregor Gysi; FDP + Guido Westerwelle,,,,,,,,,,,,,,
19,M_67_2009_int_7_days_dist_1_days_Infratest,2009-09-27,Infratest,604800s (~1 weeks),1d 0H 0M 0S,days,2009-09-26,2009-09-19,2009-09-19-2009-09-26,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
20,M_68_2009_int_7_days_dist_51_days_Infratest,2009-09-27,Infratest,604800s (~1 weeks),51d 0H 0M 0S,days,2009-08-07,2009-07-31,2009-07-31-2009-08-07,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
21,M_69_2009_int_7_days_dist_101_days_Infratest,2009-09-27,Infratest,604800s (~1 weeks),101d 0H 0M 0S,days,2009-06-18,2009-06-11,2009-06-11-2009-06-18,"27 Sep, 2009",0.229979466119097 month(s),,,,,,,,,,,,,,,,,,,
